Key,CITY,COUNTY,STATE,ZIP,MS1,MS2,MS3,MS4,MS5,MS6,MS7,MS8,MS9,MS10
Key4862,SAN JACINTO,RIVERSIDE,CA,92583,23,167,237,60,96,929,965,1101,1588,1109
Key4863,IRVINE,ORANGE,CA,92604,283,468,678,291,291,1188,1196,1365,1567,1405
Key4864,BURBANK,LOS ANGELES,CA,91501,27,361,461,188,188,641,1208,1334,1371,1365
Key4866,LAWNDALE,LOS ANGELES,CA,90260,23,135,226,58,58,851,902,1063,1419,1090
Key4868,SAN JUAN CAPISTRANO,ORANGE,CA,92675,40,195,314,78,92,1271,1391,1607,814.81,1778
Key4869,ONTARIO,SAN BERNARDINO,CA,91761,200,327,856,213,213,998,1395,1453,1522,1448
Key4871,BAKERSFIELD,KERN,CA,93312,23,167,985,54,54,1158,1192,1312,1473,1328
Key4872,MONTCLAIR,SAN BERNARDINO,CA,91763,23,124,403,48,58,731,898,1186,1304,1201
Key4874,COMPTON,LOS ANGELES,CA,90222,219,1268,1419,219,219,1616,1633,1717,2009,1730
Key4875,NORWALK,LOS ANGELES,CA,90650,110,878,1103,334,618,1262,1269,1305,814.81,1319
Key4876,BEVERLY HILLS,LOS ANGELES,CA,90210,163,309,800,418,197,1680,1699,1792,1938,1826
Key4877,LOS ANGELES,LOS ANGELES,CA,90027,547,547,547,547,547,1259,1294,1398,1475,1425
Key4879,PALM DESERT,RIVERSIDE,CA,92260,23,225,382,89,114,970,1038,1213,1364,1223
Key4880,MONTEREY PARK,LOS ANGELES,CA,91754,23,802,989,514,484,1346,1389,1556,814.81,1578
Key4885,INGLEWOOD,LOS ANGELES,CA,90302,240,1098,1291,973,977,1918,1929,2081,814.81,2149
Key4886,SAN JACINTO,RIVERSIDE,CA,92582,23,221,298,59,93,1122,1236,1368,814.81,1440
Key4888,RIVERSIDE,RIVERSIDE,CA,92503,63,196,1654,549,65,1809,1898,1956,814.81,1956
Key4893,MURRIETA,RIVERSIDE,CA,92562,23,1281,1382,155,790,1426,1444,1563,814.81,1586
Key4894,SHERMAN OAKS,LOS ANGELES,CA,91411,23,482,1251,471,380,1350,1423,1532,814.81,1543
Key4895,LA CRESCENTA,LOS ANGELES,CA,91214,23,166,213,75,88,347,1082,1193,1314,1228
Key4897,LOS ANGELES,LOS ANGELES,CA,90028,427,954,954,513,513,1646,1668,1828,814.81,2017
Key4904,SANTA MARIA,SANTA BARBARA,CA,93455,21,266,419,70,146,1641,1644,1767,814.81,1786
Key4905,SANTA MONICA,LOS ANGELES,CA,90405,33,1134,1236,90,805,1488,1519,1723,814.81,1748
Key4906,LOMA LINDA,SAN BERNARDINO,CA,92354,32,182,245,47,82,885,641,810,814.81,887
Key4919,LOS ANGELES,LOS ANGELES,CA,90003,23,319,755,257,271,1000,1018,1140,1412,1230
Key4920,OXNARD,VENTURA,CA,93030,33,134,287,56,70,1068,1089,1237,1400,1308
Key4921,CANOGA PARK,LOS ANGELES,CA,91304,240,407,826,223,406,1499,1526,1635,1919,1708
Key4922,CORONA,RIVERSIDE,CA,92882,89,356,865,214,258,1300,1301,1374,1483,1412
Key4929,SANTA FE SPRINGS,LOS ANGELES,CA,90670,23,142,282,75,85,409,1011,1151,1287,1168
Key4930,LOS ANGELES,LOS ANGELES,CA,90015,638,874,1071,751,792,1717,1730,1841,814.81,1855
Key4931,DESERT HOT SPRINGS,RIVERSIDE,CA,92240,234,922,1061,692,695,1559,1560,1769,2050,1789
Key4932,TARZANA,LOS ANGELES,CA,91356,33,218,497,99,181,568,1103,1244,1392,1302
Key4933,TUSTIN,ORANGE,CA,92780,240,954,1062,883,883,1227,1498,1677,1712,1694
Key4934,INGLEWOOD,LOS ANGELES,CA,90304,23,164,368,61,94,409,902,1032,1438,1047
Key4935,MOUNTAIN VIEW,SANTA CLARA,CA,94043,96.6,258.2,385.85,160.83,164.52,446,410,498,767,517
Key4936,SAN FRANCISCO,SAN FRANCISCO,CA,94111,96.6,258.2,385.85,160.83,164.52,639.71,166,301,356,344
Key5044,SANTA CLARA,SANTA CLARA,CA,95054,96.6,671,672,670,670,1294,1302,1385,1389,1389
Key5135,ESCONDIDO,SAN DIEGO,CA,92025,367,1158,1158,96,423,1158,1163,1246,1336,1260
Key5170,ROWLAND HEIGHTS,LOS ANGELES,CA,91748,63,220,420,128,135,597,672,804,841,828
Key5182,EASTVALE,RIVERSIDE,CA,92880,21,648,943,690,398,1293,1306,1421,1649,1439
Key5263,HAYWARD,ALAMEDA,CA,94544,434,560,626,491,526,736,650,650,694,671
Key5264,MENLO PARK,SAN MATEO,CA,94025,224,300,548,156,161,757,649,786,820,793
Key5290,SANTA CLARITA,LOS ANGELES,CA,91355,79,326,452,96,110,613,625,737,814.81,746
Key5295,SAN FRANCISCO,SAN FRANCISCO,CA,94118,96.6,258.2,385.85,160.83,164.52,639.71,256,372,426,406
Key5333,PORTOLA VALLEY,SAN MATEO,CA,94028,64,589,650,392,323,1184,1197,1245,1298,1304
Key5384,LOS ANGELES,LOS ANGELES,CA,90045,24,19,174,38,28,300,313,383,814.81,412
Key5444,SAN LORENZO,ALAMEDA,CA,94580,42,203,417,58,58,1134,1142,1184,1231,1218
Key5486,SAN DIEGO,SAN DIEGO,CA,92129,96.6,102,132,160.83,164.52,300,318,427,587,447
